,CY_RG5,CY_RG6,CY_RG7,CY_RG8,CY_RG9,LRE_RG1,LRE_RG2,LRE_RG3,LRE_RG4,LRE_RG5
TRINITY_DN9792_c0_g2,104.3,141.46,72.02,105.11,70.46,71.94,156.15,297.59,196.47,73.52
TRINITY_DN19929_c0_g1,67,215,73,202,26,64,47,11,110,80
TRINITY_DN13217_c0_g1,137,175,112,192,111,170,215,35,237,161
TRINITY_DN20321_c10_g1,29,14,27,15,18,28,44,254,24,13
TRINITY_DN15929_c0_g2,610,839,374,413,231,691,476,298,563,387
TRINITY_DN23219_c0_g1,63,68,28,38,26,76,26,32,36,54
TRINITY_DN16317_c0_g1,106,77,64,66,44,109,30,19,43,38
TRINITY_DN20654_c0_g1,32,75,22,24,26,34,42,22,65,46
TRINITY_DN22581_c0_g2,186,215.05,203,263,160,220,339,498.68,277.52,235.42
TRINITY_DN22121_c0_g3,69,74,58,76,36,51,91,100,106,75
TRINITY_DN11207_c0_g3,224,379,229,293,142,225,237,142,306,58
TRINITY_DN21287_c2_g1,99,109,112,209,114,132,107,189,94,116
TRINITY_DN10215_c0_g1,36,47.27,71,71.87,69.3,51.9,87.57,102,51,78
TRINITY_DN15794_c0_g1,137,171,125,190,90,164,103,42,126,109
TRINITY_DN9162_c0_g1,40,26,47,32,31,49,62,58,47,23
TRINITY_DN16966_c0_g1,211,251.5,106.22,114.32,70,213.08,130,29,327,122
TRINITY_DN22905_c2_g2,61,54,57,45,26,85,44,50,48,55
TRINITY_DN22231_c2_g1,105,75,78,87,78,131,68,30,66,70
TRINITY_DN20592_c0_g1,54,54,44,30,22,58,23,49,43,48
TRINITY_DN20025_c0_g1,506,661,390,446,366,546,511,629,455,428
TRINITY_DN20241_c0_g1,170,128,78,147,85,147,136,139,115,171
TRINITY_DN19103_c0_g3,604,184,256,837,555,770,361,159,237,395
TRINITY_DN22555_c1_g1,157,91,124,139,85,192,156,199,85,171
TRINITY_DN19941_c0_g1,82,174,55,65,35,103,58,21,199,74
TRINITY_DN22473_c1_g2,140,285,210,248,182,175,168,30,179,175
TRINITY_DN17299_c0_g1,25,33,35,41,23,23,62,11,82,37
TRINITY_DN20508_c0_g1,678,1212,416,748,234,792,1075,605,720,721
TRINITY_DN10005_c0_g1,47,67,90,114,23,59,131,599.68,98,85
TRINITY_DN21454_c2_g3,66,84,53,57,32,72,30,15,45,62
TRINITY_DN22394_c0_g1,101,100,138,136,59,120,108,21,70,161
TRINITY_DN17149_c0_g1,126,120,189,264,153,161,402,1688,214,118
TRINITY_DN16564_c0_g3,48,75,49,98,51,62,138,51,107,79
TRINITY_DN14598_c0_g1,27,30,29,46,25,45,43,39,62.98,36
TRINITY_DN21310_c1_g2,64,64,32,48,24,53,48,111,73,70
